Name,Year,TOT_P,TOT_M,TOT_F,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
WEST BENGAL,2001,80176197,3037582,38710212,47196401,27452426,19743975,32979796,14013559,18966237,4522934,3744905,778029,29481690,22388044,7093646,50694507,19077941,31616566
UTTARANCHAL,2001,8489349,3290586,4163425,5105782,3008875,2096907,3383567,1317049,2066518,142624,122799,19825,3134036,1996177,1137859,5355313,2329747,3025566
UTTAR PRADESH,2001,166197921,3473428,78632552,75719284,48901413,26817871,90478637,38663956,51814681,5956547,4816377,1140170,53983824,40981558,13002266,112214097,46583811,65630286
TRIPURA,2001,3199203,1202030,1556978,2022099,1150707,871392,1177104,491518,685586,168519,127177,41342,1159561,831346,328215,2039642,810879,1228763
TAMIL NADU,2001,62405679,697078,31004770,40524545,22809662,17714883,21881134,8591247,13289887,6062786,3273642,2789144,27878282,18100397,9777885,34527397,13300512,21226885
SIKKIM,2001,540851,1035464,252367,234135,137745,96390,142430,63413,79017,5585,3557,2028,186222,117260,68962,190343,83898,106445
RAJASTHAN,2001,56507188,3160635,27087177,27702010,18047157,9654853,28805178,11372854,17432324,1008417,654162,354255,23766655,14695802,9070853,32740533,14724209,18016324
PUDUCHERRY,2001,974345,1789423,487384,696367,378758,317609,277978,108203,169775,59594,36631,22963,342655,258670,83985,631690,228291,403399
PUNJAB,2001,24358999,1334455,11373954,14756970,8442293,6314677,9602029,4542752,5059277,1057622,892869,164753,9127474,6960213,2167261,15231525,6024832,9206693
ODISHA,2001,36804660,518837,18144090,19837055,11992333,7844722,16967605,6668237,10299368,2098158,1570444,527714,14276488,9802006,4474482,22528172,8858564,13669608
NAGALAND,2001,1990036,970294,942895,1132323,640201,492122,857713,406940,450773,12059,7330,4729,847796,488968,358828,1142240,558173,584067
MANIPUR,2001,2166788,971835,1071154,1310534,753466,557068,856254,342168,514086,41819,25387,16432,945213,527216,417997,1221575,568418,653157
MIZORAM,2001,888573,1746107,429464,661445,350105,311340,227128,109004,118124,10840,6710,4130,467159,263008,204151,421414,196101,225313
MEGHALAYA,2001,2318822,2052958,1142735,1157875,614272,543603,1160947,561815,599132,94938,60188,34750,970146,568491,401655,1348676,607596,741080
MAHARASHTRA,2001,96878627,2308384,46478031,63965943,37184963,26780980,32912684,13215633,19697051,7641219,3941652,3699567,41173351,26852095,14321256,55705276,23548501,32156775
MADHYA PRADESH,2001,60348023,538041,28904371,31592563,19672274,11920289,28755460,11771378,16984082,3880905,2393898,1487007,25793519,16194368,9599151,34554504,15249284,19305220
LAKSHADWEEP,2001,60650,806158,29519,44683,24511,20172,15967,6620,9347,NA,NA,NA,15354,13204,2150,45296,17927,27369
KERALA,2001,31841374,1570408,16372760,25485688,12753602,12732086,6355686,2715012,3640674,1021559,714772,306787,10283887,7765645,2518242,21557487,7702969,13854518
KARNATAKA,2001,52850562,550892,25951644,30434962,17661211,12773751,22415600,9237707,13177893,3783852,1961368,1822484,23534791,15235355,8299436,29315771,11663563,17652208
JHARKHAND,2001,26945829,2194586,13060792,11777201,7646857,4130344,15168628,6238180,8930448,1052325,758101,294224,10109030,6659856,3449174,16836799,7225181,9611618
JAMMU & KASHMIR,2001,10143700,2088928,4782774,4807286,3060628,1746658,5336414,2300298,3036116,103089,93313,9776,3753815,2679941,1073874,6389885,2680985,3708900
HIMACHAL PRADESH,2001,6077900,1338871,2989960,4041621,2278386,1763235,2036279,809554,1226725,36156,26499,9657,2992461,1686658,1305803,3085439,1401282,1684157
HARYANA,2001,21144564,2790410,9780611,12093677,7480209,4613468,9050887,3883744,5167143,607871,462454,145417,8377466,5715526,2661940,12767098,5648427,7118671
GOA,2001,1347668,2581500,660420,985562,541032,444530,362106,146216,215890,11842,6858,4984,522855,375218,147637,824813,312030,512783
GUJARAT,2001,50671017,3105798,24285440,29827750,17833273,11994477,20843267,8552304,12290963,3048713,2004136,1044577,21255521,14477286,6778235,29415496,11908291,17507205
NCT OF DELHI,2001,13850507,87397,6243273,9664764,5700847,3963917,4185743,1906387,2279356,10629,8075,2554,4545234,3960101,585133,9305273,3647133,5658140
DAMAN & DIU,2001,158204,NA,65692,107600,70992,36608,50604,21520,29084,445,263,182,72791,60569,12222,85413,31943,53470
DADRA & NAGAR HAVELI,2001,220490,NA,98824,103904,72149,31755,116586,49517,67069,6945,3514,3431,114122,75835,38287,106368,45831,60537
CHHATTISGARH,2001,20833803,NA,10359585,11173149,6711395,4461754,9660654,3762823,5897831,1552083,826688,725395,9679871,5531859,4148012,11153932,4942359,6211573
CHANDIGARH,2001,900635,NA,393697,643245,382686,260559,257390,124252,133138,445,377,68,340422,284419,56003,560213,222519,337694
BIHAR,2001,82998509,NA,39754714,31109577,20644376,10465201,51888932,22599419,29289513,9020151,6881169,2138982,27974606,20483003,7491603,55023903,22760792,32263111
ANDHRA PRADESH,2001,76210007,1713134,37682594,39934323,23444788,16489535,36275684,15082625,21193059,9823264,5141014,4682250,34893859,21662192,13231667,41316148,16865221,24450927
ASSAM,2001,26655528,660923,12878491,14015354,8188697,5826657,12640174,5588340,7051834,636351,540769,95582,9538591,6870960,2667631,17116937,6906077,10210860
ARUNACHAL PRADESH,2001,1097968,57179,518027,484785,303281,181504,613183,276660,336523,10649,7081,3568,482902,293612,189290,615066,286329,328737
ANDAMAN & NICOBAR ISLANDS,2001,356152,4901420,163180,253135,146831,106304,103017,46141,56876,2683,2470,213,136254,109162,27092,219898,83810,136088
UTTARAKHAND,2001,NA,250582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TELANGANA,2001,NA,1463583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,2001,NA,2810436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zunheboto,2001,153955,1107643,74899,89139,48707,40432,64816,30349,34467,683,278,405,56783,31110,25673,97172,47946,49226
Yavatmal,2001,2458271,1759602,1192590,1537777,903639,634138,920494,362042,558452,431234,224799,206435,1118937,674923,444014,1339334,590758,748576
Yanam,2001,31394,1636433,15501,19861,10739,9122,11533,5154,6379,1867,1474,393,9903,8310,1593,21491,7583,13908
Yamunanagar,2001,1041630,691929,482186,638711,375462,263249,402919,183982,218937,37430,35060,2370,336533,280289,56244,705097,279155,425942
Wokha,2001,161223,44215,77553,112198,61979,50219,49025,21691,27334,231,121,110,56254,31486,24768,104969,52184,52785
West Tripura,2001,1532982,580730,747403,1035378,581523,453855,497604,204056,293548,72192,54753,17439,534348,397079,137269,998634,388500,610134
West Siang,2001,103918,1923014,49569,51216,30128,21088,52702,24221,28481,437,322,115,43085,25688,17397,60833,28661,32172
Khargone (West Nimar),2001,1529562,NA,744958,780796,475854,304942,748766,308750,440016,181848,97641,84207,704439,410270,294169,825123,374334,450789
West Khasi Hills,2001,296049,309024,145630,147590,76676,70914,148459,73743,74716,15149,8945,6204,129095,69737,59358,166954,80682,86272
West Kameng,2001,74599,1185072,32057,37687,25386,12301,36912,17156,19756,795,580,215,34362,24722,9640,40237,17820,22417
